racename,riderposition,ridername,riderteam
UAE Tour,61,VAN POPPEL Danny,Red Bull - BORA - hansgrohe
UAE Tour,62,CARTHY Hugh,EF Education - EasyPost
UAE Tour,63,MÄRKL Niklas,Team Picnic PostNL
UAE Tour,64,EDMONDSON Alex,Team Picnic PostNL
UAE Tour,65,HEIDUK Kim,INEOS Grenadiers
UAE Tour,66,SCHELLING Ide,XDS Astana Team
UAE Tour,67,DONALDSON Robert,Team Jayco AlUla
UAE Tour,68,GHYS Robbe,Alpecin - Deceuninck
UAE Tour,69,DE SCHUYTENEER Steffen,Lotto
UAE Tour,70,VERMEERSCH Florian,UAE Team Emirates - XRG
UAE Tour,71,BAUHAUS Phil,Bahrain - Victorious
UAE Tour,72,GHEBREIGZABHIER Amanuel,Lidl - Trek
UAE Tour,73,VAN DER LEE Jardi Christiaan,EF Education - EasyPost
UAE Tour,74,LEONARD Michael,INEOS Grenadiers
UAE Tour,75,PEDERSEN Casper,Soudal Quick-Step
UAE Tour,76,NOVAK Domen,UAE Team Emirates - XRG
UAE Tour,77,PHILIPSEN Jasper,Alpecin - Deceuninck
UAE Tour,78,MILAN Jonathan,Lidl - Trek
UAE Tour,79,MERLIER Tim,Soudal Quick-Step
UAE Tour,80,DILLIER Silvan,Alpecin - Deceuninck
UAE Tour,81,BISSEGGER Stefan,Decathlon AG2R La Mondiale Team
UAE Tour,82,MACIEJUK Filip,Red Bull - BORA - hansgrohe
UAE Tour,83,REINDERS Elmar,Team Jayco AlUla
UAE Tour,84,MORO Manlio,Movistar Team
UAE Tour,85,CURRIE Logan,Lotto
UAE Tour,86,PEDERSEN Rasmus Søjberg,Decathlon AG2R La Mondiale Team
UAE Tour,87,ZANONCELLO Enrico,VF Group - Bardiani CSF - Faizanè
UAE Tour,88,SU Haoyu,XDS Astana Team
UAE Tour,89,THIJSSEN Gerben,Intermarché - Wanty
UAE Tour,90,THEUNS Edward,Lidl - Trek
UAE Tour,91,FORTIN Filippo,Team Solution Tech - Vini Fantini
UAE Tour,92,RAJOVIĆ Dušan,Team Solution Tech - Vini Fantini
UAE Tour,93,CIMOLAI Davide,Movistar Team
UAE Tour,94,VAN LERBERGHE Bert,Soudal Quick-Step
UAE Tour,95,LEIJNSE Enzo,Team Picnic PostNL
UAE Tour,96,MEZGEC Luka,Team Jayco AlUla
UAE Tour,97,SKERL Daniel,Bahrain - Victorious
UAE Tour,98,TAROZZI Manuele,VF Group - Bardiani CSF - Faizanè
UAE Tour,99,WELSFORD Sam,Red Bull - BORA - hansgrohe
UAE Tour,100,KLUCKERS Arthur,Tudor Pro Cycling Team
UAE Tour,101,KOGUT Oded,Israel - Premier Tech
UAE Tour,102,CONSONNI Simone,Lidl - Trek
UAE Tour,103,BASTIAENS Ayco,Soudal Quick-Step
UAE Tour,104,GREGAARD Jonas,Lotto
UAE Tour,105,JAKOBSEN Fabio,Team Picnic PostNL
UAE Tour,106,PINAZZI Mattia,VF Group - Bardiani CSF - Faizanè
UAE Tour,107,TAMINIAUX Lionel,Lotto
UAE Tour,108,ČERNÝ Josef,Soudal Quick-Step
UAE Tour,109,VAN DEN BERG Julius,Team Picnic PostNL
UAE Tour,110,POLLEFLIET Gianluca,Decathlon AG2R La Mondiale Team
UAE Tour,111,CONFORTI Lorenzo,VF Group - Bardiani CSF - Faizanè
UAE Tour,112,BJERG Mikkel,UAE Team Emirates - XRG
UAE Tour,113,PRICE-PEJTERSEN Johan,Alpecin - Deceuninck
UAE Tour,114,FIORELLI Filippo,VF Group - Bardiani CSF - Faizanè
UAE Tour,115,KRIEGER Alexander,Tudor Pro Cycling Team
UAE Tour,116,ĐURIĆ Đorđe,Team Solution Tech - Vini Fantini
UAE Tour,117,KOLZE CHANGIZI Sebastian,Tudor Pro Cycling Team
Paris-Nice,1,JORGENSON Matteo,Team Visma | Lease a Bike
Paris-Nice,2,LIPOWITZ Florian,Red Bull - BORA - hansgrohe
Paris-Nice,3,ARENSMAN Thymen,INEOS Grenadiers
Paris-Nice,4,SHEFFIELD Magnus,INEOS Grenadiers
Paris-Nice,5,STORER Michael,Tudor Pro Cycling Team
Paris-Nice,6,ALMEIDA João,UAE Team Emirates - XRG
Paris-Nice,7,CHAMPOUSSIN Clément,XDS Astana Team
Paris-Nice,8,TEJADA Harold,XDS Astana Team
Paris-Nice,9,FOSS Tobias,INEOS Grenadiers
Paris-Nice,10,VAN WILDER Ilan,Soudal Quick-Step
Paris-Nice,11,CASTRILLO Pablo,Movistar Team
Paris-Nice,12,PARET-PEINTRE Aurélien,Decathlon AG2R La Mondiale Team
Paris-Nice,13,MARTIN Guillaume,Groupama - FDJ
Paris-Nice,14,O'CONNOR Ben,Team Jayco AlUla
Paris-Nice,15,BARTA Will,Movistar Team
Paris-Nice,16,GARCÍA PIERNA Raúl,Arkéa - B&B Hotels
Paris-Nice,17,SCHACHMANN Maximilian,Soudal Quick-Step
Paris-Nice,18,GALL Felix,Decathlon AG2R La Mondiale Team
Paris-Nice,19,GOOSSENS Kobe,Intermarché - Wanty
Paris-Nice,20,ZIMMERMANN Georg,Intermarché - Wanty
Paris-Nice,21,ROMEO Iván,Movistar Team
Paris-Nice,22,VERGALLITO Luca,Alpecin - Deceuninck
Paris-Nice,23,JEGAT Jordan,Team TotalEnergies
Paris-Nice,24,MARTINEZ Lenny,Bahrain - Victorious
Paris-Nice,25,GENIETS Kevin,Groupama - FDJ
Paris-Nice,26,PEDERSEN Mads,Lidl - Trek
Paris-Nice,27,TARLING Joshua,INEOS Grenadiers
Paris-Nice,28,SOBRERO Matteo,Red Bull - BORA - hansgrohe
Paris-Nice,29,LEKNESSUND Andreas,Uno-X Mobility
Paris-Nice,30,HAIG Jack,Bahrain - Victorious
Paris-Nice,31,POWLESS Neilson,EF Education - EasyPost
Paris-Nice,32,KULSET Johannes,Uno-X Mobility
Paris-Nice,33,SCHMID Mauro,Team Jayco AlUla
Paris-Nice,34,BARGUIL Warren,Team Picnic PostNL
Paris-Nice,35,VLASOV Aleksandr,Red Bull - BORA - hansgrohe
Paris-Nice,36,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe
Paris-Nice,37,NARVÁEZ Jhonatan,UAE Team Emirates - XRG
Paris-Nice,38,STEINHAUSER Georg,EF Education - EasyPost
Paris-Nice,39,TRENTIN Matteo,Tudor Pro Cycling Team
Paris-Nice,40,POLITT Nils,UAE Team Emirates - XRG
Paris-Nice,41,GACHIGNARD Thomas,Team TotalEnergies
Paris-Nice,42,ZAMBANINI Edoardo,Bahrain - Victorious
Paris-Nice,43,BISSEGGER Stefan,Decathlon AG2R La Mondiale Team
Paris-Nice,44,ALAPHILIPPE Julian,Tudor Pro Cycling Team
Paris-Nice,45,KÜNG Stefan,Groupama - FDJ
Paris-Nice,46,DOULL Owain,EF Education - EasyPost
Paris-Nice,47,VINOKUROV Nicolas,XDS Astana Team
Paris-Nice,48,SILVA Guillermo Thomas,Caja Rural - Seguros RGA
Paris-Nice,49,COSTIOU Ewen,Arkéa - B&B Hotels
Paris-Nice,50,JACOBS Johan,Groupama - FDJ
Paris-Nice,51,GARCÍA CORTINA Iván,Movistar Team
Paris-Nice,52,TEUNISSEN Mike,XDS Astana Team
Paris-Nice,53,ZINGLE Axel,Team Visma | Lease a Bike
Paris-Nice,54,GUERNALEC Thibault,Arkéa - B&B Hotels
Paris-Nice,55,MATTHEWS Michael,Team Jayco AlUla
Paris-Nice,56,CAMPENAERTS Victor,Team Visma | Lease a Bike
Paris-Nice,57,HOOLE Daan,Lidl - Trek
Paris-Nice,58,CAVAGNA Rémi,Groupama - FDJ
Paris-Nice,59,NAESEN Oliver,Decathlon AG2R La Mondiale Team
Paris-Nice,60,MILESI Lorenzo,Movistar Team
Paris-Nice,61,SCOTSON Callum,Decathlon AG2R La Mondiale Team
Paris-Nice,62,ARMIRAIL Bruno,Decathlon AG2R La Mondiale Team
Paris-Nice,63,SMITH Dion,Intermarché - Wanty
Paris-Nice,64,SWEENY Harry,EF Education - EasyPost
Paris-Nice,65,KIRSCH Alex,Lidl - Trek
Paris-Nice,66,O'BRIEN Kelland,Team Jayco AlUla
Paris-Nice,67,JUNGELS Bob,INEOS Grenadiers
Paris-Nice,68,WRIGHT Fred,Bahrain - Victorious
Paris-Nice,69,GRUEL Thibaud,Groupama - FDJ
Paris-Nice,70,DELETTRE Alexandre,Team TotalEnergies
Paris-Nice,71,LEMMEN Bart,Team Visma | Lease a Bike
Paris-Nice,72,DEBRUYNE Ramses,Alpecin - Deceuninck
Paris-Nice,73,PEREZ Anthony,Cofidis
Paris-Nice,74,SWIFT Ben,INEOS Grenadiers
Paris-Nice,75,SAMITIER Sergio,Cofidis
Paris-Nice,76,VAN GESTEL Dries,Soudal Quick-Step
Paris-Nice,77,WATSON Samuel,INEOS Grenadiers
Paris-Nice,78,SKAARSETH Anders,Uno-X Mobility
Paris-Nice,79,VERGAERDE Otto,Lidl - Trek
Paris-Nice,80,IZQUIERDO Clément,Cofidis
Paris-Nice,81,DEL GROSSO Tibor,Alpecin - Deceuninck
Paris-Nice,82,DE PESTEL Sander,Decathlon AG2R La Mondiale Team
Paris-Nice,83,KIELICH Timo,Alpecin - Deceuninck
Paris-Nice,84,ANDRESEN Tobias Lund,Team Picnic PostNL
Paris-Nice,85,SIVAKOV Pavel,UAE Team Emirates - XRG
Paris-Nice,86,LAMPAERT Yves,Soudal Quick-Step
Paris-Nice,87,ALBANESE Vincenzo,EF Education - EasyPost
Paris-Nice,88,HALLER Marco,Tudor Pro Cycling Team
Paris-Nice,89,VAN DEN BERG Julius,Team Picnic PostNL
Paris-Nice,90,PALENI Enzo,Groupama - FDJ
Paris-Nice,91,VAN DIJKE Mick,Red Bull - BORA - hansgrohe
Paris-Nice,92,FLYNN Sean,Team Picnic PostNL
Paris-Nice,93,TILLER Rasmus,Uno-X Mobility
Paris-Nice,94,DEGENKOLB John,Team Picnic PostNL
Paris-Nice,95,OTRUBA Jakub,Caja Rural - Seguros RGA
Paris-Nice,96,BAYER Tobias,Alpecin - Deceuninck
Paris-Nice,97,PLANCKAERT Edward,Alpecin - Deceuninck
Paris-Nice,98,MORO Manlio,Movistar Team
Paris-Nice,99,FEDOROV Yevgeniy,XDS Astana Team
Paris-Nice,100,JEANNIÈRE Emilien,Team TotalEnergies
Paris-Nice,101,CHARMIG Anthon,XDS Astana Team
Paris-Nice,102,BASTIAENS Ayco,Soudal Quick-Step
Paris-Nice,103,LIENHARD Fabian,Tudor Pro Cycling Team
Paris-Nice,104,AFFINI Edoardo,Team Visma | Lease a Bike
Paris-Nice,105,OLIVEIRA Ivo,UAE Team Emirates - XRG
Paris-Nice,106,NICOLAU Joel,Caja Rural - Seguros RGA
Paris-Nice,107,THIERRY Pierre,Arkéa - B&B Hotels
Paris-Nice,108,SCOTSON Miles,Arkéa - B&B Hotels
